Item.Filename,target_word,image_selection,feedback,reps,Item.Height,Item.Backness,F3,F0,Talker,Duration,Experiment,SR,F1,F2
E2_1.051_1.246.wav,TEST,forward,FALSE,2,1.051,1.246,2982.669120712417,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,558.906542887737,1942.9879992008134
E2_1.051_1.325.wav,TEST,forward,FALSE,2,1.051,1.325,3011.132045603213,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,535.4327056718791,2014.3970838667212
E2_1.051_1.398.wav,TEST,forward,FALSE,2,1.051,1.398,3054.2557058179395,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,535.4327056718791,2166.948456587361
E2_1.051_1.502.wav,TEST,forward,FALSE,2,1.051,1.502,3121.3924743180605,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,535.4327056718791,2404.4469932079555
E2_1.051_1.625.wav,TEST,forward,FALSE,2,1.051,1.625,3229.0944653373576,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,552.1438742582967,2804.017962295699
E2_1.051_1.749.wav,TEST,forward,FALSE,2,1.051,1.749,3334.012754400064,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,552.1438742582967,3174.192835885498
E2_1.076_1.661.wav,TEST,forward,FALSE,2,1.076,1.661,3274.801699144892,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,566.1214629819706,2980.38764748549
E2_1.111_1.571.wav,TEST,forward,FALSE,2,1.111,1.571,3204.4772172561766,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,568.5420150980661,2735.5155982526785
E2_1.125_0.575.wav,TEST,forward,FALSE,2,1.125,0.575,2715.267306623845,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,577.5885085778382,1026.450170588427
E2_1.125_0.702.wav,TEST,forward,FALSE,2,1.125,0.702,2754.821510019139,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,577.5885085778382,1165.44899159081
E2_1.125_0.802.wav,TEST,forward,FALSE,2,1.125,0.802,2789.701026940819,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,577.5885085778382,1288.0203320067533
E2_1.125_0.925.wav,TEST,forward,FALSE,2,1.125,0.925,2837.673510253085,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,577.5885085778382,1456.60212733005
E2_1.125_1.053.wav,TEST,forward,FALSE,2,1.125,1.053,2894.274460205965,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,577.5885085778382,1655.505521551894
E2_1.125_1.175.wav,TEST,forward,FALSE,2,1.125,1.175,2955.4014845763836,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,577.5885085778382,1870.3141534932183
E2_1.125_1.246.wav,TEST,forward,FALSE,2,1.125,1.246,2993.904143519924,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,576.5575813527339,2004.3502364967358
E2_1.125_1.325.wav,TEST,forward,FALSE,2,1.125,1.325,3040.7832728157896,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,576.5575813527339,2169.116488879425
E2_1.163_1.367.wav,TEST,forward,FALSE,2,1.163,1.367,3084.71610139285,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,598.8883673039701,2349.775840683594
E2_1.175_1.502.wav,TEST,forward,FALSE,2,1.175,1.502,3206.9995064389864,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,625.0356287353649,2806.8233827344293
E2_1.187_0.987.wav,TEST,forward,FALSE,2,1.187,0.987,2878.882430978986,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,614.5324238744447,1648.896725868778
